TIME,POSITION_LOCAL:X,POSITION_LOCAL:Y,POSITION_LOCAL:Z,VELOCITY:X,VELOCITY:Y,VELOCITY:Z,ATTITUDE:X,ATTITUDE:Y,ATTITUDE:Z,u_l1:X,u_l1:Y,u_l1:Z,sigma_hat:X,sigma_hat:Y,sigma_hat:Z,U_OUTPUT:X,U_OUTPUT:Y,U_OUTPUT:Z,U_REF:X,U_REF:Y,U_REF:Z,HEADING,FLIGHT_MODE,BATTERY_VOLTAGE,BATTERY_CURRENT,THROTTLE,ESTIMATED_MASS
2023-10-19 23:37:32.721531,-0.054880090057849884,0.042299892753362656,5.8385772705078125,0.016133908182382584,-0.014891412109136581,-0.003084043972194195,-8.390616130782291e-05,-0.00047154101775959134,0.00015512402751483023,0.0,0.0,0.0,0.0,0.0,0.0,17.355633141957494,1.1607163861533116e-05,0.00039874762166710833,17.355633141957494,1.1607163861533116e-05,0.00039874762166710833,0,GUIDED,12.587,0.0,0.304788221707898,1.7494949494949494
2023-10-19 23:37:32.753781,-0.054864220321178436,0.04224799573421478,5.838438510894775,0.016175469383597374,-0.014883354306221008,-0.0024521781597286463,-6.669520371360704e-05,-0.0004540728696156293,0.00015507836360484362,0.0,0.0,0.0,0.0,0.0,0.0,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,0,GUIDED,12.587,0.0,0.30477865906579016,1.7494949494949494
2023-10-19 23:37:32.773693,-0.05501881614327431,0.04236610233783722,5.8383941650390625,0.01609133370220661,-0.014831462875008583,-0.002206952078267932,-5.637266076519154e-05,-0.0004155607020948082,0.00014948664465919137,0.0,0.0,0.0,0.0,0.0,0.0,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,0,GUIDED,12.587,0.0,0.30477865906579016,1.7494949494949494
2023-10-19 23:37:32.807883,-0.054919179528951645,0.04226238653063774,5.838353633880615,0.016136355698108673,-0.014882588759064674,-0.0020033970940858126,2.5249963073292747e-05,-0.0004146027786191553,0.0001421136548742652,0.0,0.0,0.0,0.0,0.0,0.0,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,0,GUIDED,12.587,0.0,0.30477865906579016,1.7494949494949494
2023-10-19 23:37:32.822802,-0.054919179528951645,0.04226238653063774,5.838353633880615,0.016136355698108673,-0.014882588759064674,-0.0020033970940858126,-5.512808638741262e-05,-0.0004031520220451057,0.00012970666284672916,0.0,0.0,0.0,0.0,0.0,0.0,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,0,GUIDED,12.587,0.0,0.30477865906579016,1.7494949494949494
2023-10-19 23:37:32.897898,-0.05476643517613411,0.042061228305101395,5.8382415771484375,0.016228962689638138,-0.014886339195072651,-0.0008309673867188394,9.305773710366338e-05,-0.00035658484557643533,0.00014931343321222812,0.0,0.0,0.0,0.0,0.0,0.0,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,17.354987807054847,-4.77821264071523e-05,0.00034522485588543006,0,GUIDED,12.587,0.0,0.30477865906579016,1.7494949494949494
2023-10-19 23:37:32.959220,-0.05473887175321579,0.04200707748532295,5.838242053985596,0.016231277957558632,-0.01476588100194931,-0.00016804160259198397,0.00017023026884999126,-0.00024072280211839825,0.0002085328014800325,0.0,0.0,0.0,0.0,0.0,0.0,17.3525312638544,-0.052407659685822026,-0.05201465270351462,17.3525312638544,-0.052407659685822026,-0.05201465270351462,0,GUIDED,12.587,0.0,0.3047422577440083,1.7494949494949494
2023-10-19 23:37:32.991411,-0.054732587188482285,0.041983723640441895,5.838250160217285,0.01633906550705433,-0.014932973310351372,-0.00014383664529304951,0.008074771612882614,0.00631463760510087,0.0008671892574056983,0.0,0.0,0.0,0.0,0.0,0.0,17.3525312638544,-0.052407659685822026,-0.05201465270351462,17.3525312638544,-0.052407659685822026,-0.05201465270351462,0,GUIDED,12.587,0.0,0.3047422577440083,1.7494949494949494
2023-10-19 23:37:33.008494,-0.05486016720533371,0.0420864000916481,5.8382568359375,0.014860013499855995,-0.013189775869250298,-0.00026821327628567815,0.014184367842972279,0.011306961067020893,0.0007029696134850383,0.0,0.0,0.0,0.0,0.0,0.0,17.3525312638544,-0.052407659685822026,-0.05201465270351462,17.3525312638544,-0.052407659685822026,-0.05201465270351462,0,GUIDED,12.587,0.0,0.3047422577440083,1.7494949494949494
2023-10-19 23:37:33.062707,-0.05515824630856514,0.04241400212049484,5.838300704956055,0.005270147230476141,-0.0023581290151923895,0.0003219402860850096,0.026565777137875557,0.024190247058868408,0.00023720932949800044,0.0,0.0,0.0,0.0,0.0,0.0,17.3525312638544,-0.052407659685822026,-0.05201465270351462,17.3525312638544,-0.052407659685822026,-0.05201465270351462,0,GUIDED,12.587,0.0,0.3047422577440083,1.7494949494949494
2023-10-19 23:37:33.120902,-0.056052353233098984,0.0434284433722496,5.838379383087158,-0.011221339926123619,0.015035285614430904,0.0009081955649890006,0.034040797501802444,0.03270458057522774,0.00010434687283122912,0.0,0.0,0.0,0.0,0.0,0.0,17.34782653741864,-0.10476753723636512,-0.10437453025407772,17.34782653741864,-0.10476753723636512,-0.10437453025407772,0,GUIDED,12.587,0.0,0.30467254260085413,1.7494949494949494
