TIME,POSITION_LOCAL:X,POSITION_LOCAL:Y,POSITION_LOCAL:Z,VELOCITY:X,VELOCITY:Y,VELOCITY:Z,ATTITUDE:X,ATTITUDE:Y,ATTITUDE:Z,u_l1:X,u_l1:Y,u_l1:Z,sigma_hat:X,sigma_hat:Y,sigma_hat:Z,U_OUTPUT:X,U_OUTPUT:Y,U_OUTPUT:Z,U_REF:X,U_REF:Y,U_REF:Z,HEADING,FLIGHT_MODE,BATTERY_VOLTAGE,BATTERY_CURRENT,THROTTLE,ESTIMATED_MASS
2023-10-19 23:34:22.276512,-0.051527462899684906,0.03745399788022041,5.997347354888916,0.01661582663655281,-0.012012026272714138,-0.0025274206418544054,-8.361291838809848e-05,-0.0005011567263863981,7.887961692176759e-05,0.17964178633863612,0.00025821892684279674,0.00040744587069185335,-0.1920881558650492,0.00014944171052619603,0.00013851836878556184,17.34978406920426,0.0003866989127601087,0.000550828875033741,17.170142282865626,0.00012847998591731198,0.00014338300434188757,0,GUIDED,12.587,0.0,0.30470154951773376,0.0
2023-10-19 23:34:22.310836,-0.0517265759408474,0.03757553920149803,5.9968647956848145,0.016529928892850876,-0.012006429955363274,-0.0025678498204797506,-0.00010905489034485072,-0.00049967149971053,0.00015148551028687507,0.18818922347296896,0.000255408721774051,0.0004113890745068071,-0.1864574878880919,-0.00029764123198927465,-0.00042804732225524617,17.364440086787255,0.0003630804170075589,0.0005479987244249415,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049187239651368,0.0
2023-10-19 23:34:22.330284,-0.051603130996227264,0.03748263046145439,5.9967427253723145,0.016603313386440277,-0.012083628214895725,-0.002254899824038148,-0.000203122544917278,-0.0005062732961960137,0.00015380512923002243,0.19003115799170014,0.00025403848774864534,0.0004125251831608445,-0.19941562550627442,-0.0001974727456105973,-0.0007024408297086027,17.366282021305988,0.00036171018298215325,0.000549134833078979,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049460179492626,0.0
2023-10-19 23:34:22.349513,-0.05165838077664375,0.037516217678785324,5.996562957763672,0.016582170501351357,-0.012119008228182793,-0.0020080364774912596,-0.00023274561681319028,-0.000512358732521534,0.00015423544391524047,0.19003115799170014,0.00025403848774864534,0.0004125251831608445,-0.19941562550627442,-0.0001974727456105973,-0.0007024408297086027,17.366282021305988,0.00036171018298215325,0.000549134833078979,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049460179492626,0.0
2023-10-19 23:34:22.356769,-0.05165838077664375,0.037516217678785324,5.996562957763672,0.016582170501351357,-0.012119008228182793,-0.0020080364774912596,-0.00018060619186144322,-0.000512921717017889,0.00013366341590881348,0.1911313987250939,0.0002524865570006628,0.00041356637964177795,-0.16867204614045606,-3.3117089549586525e-05,-0.00011498863384809088,17.36738226203938,0.0003601582522341707,0.0005501760295599123,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049623214349764,0.0
2023-10-19 23:34:22.370393,-0.051676053553819656,0.037522491067647934,5.996400833129883,0.016603225842118263,-0.01211948785930872,-0.001675447216257453,-0.0001847465755417943,-0.0005115284002386034,0.00013348298671189696,0.1915171326118845,0.00025077341729966057,0.0004145122166831407,-0.17654703047021858,-0.00014898834002445853,-0.0005460649709966832,17.367767995926172,0.0003584451125331685,0.0005511218666012751,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049680372812651,0.0
2023-10-19 23:34:22.380571,-0.05150933563709259,0.037400826811790466,5.996385097503662,0.01673109084367752,-0.012218596413731575,-0.0014644332695752382,-0.00024945163750089705,-0.000509863079059869,0.0001328499347437173,0.1915171326118845,0.00025077341729966057,0.0004145122166831407,-0.17654703047021858,-0.00014898834002445853,-0.0005460649709966832,17.367767995926172,0.0003584451125331685,0.0005511218666012751,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049680372812651,0.0
2023-10-19 23:34:22.389973,-0.0515044629573822,0.037394072860479355,5.996312618255615,0.0167376808822155,-0.012252341955900192,-0.001273777917958796,-0.000308659509755671,-0.0005108973709866405,0.00012609998520929366,0.19117658867807533,0.0002489179594501849,0.00041536292542982756,-0.16942782339980486,-0.0002818024493874766,-0.00029455970101473905,17.367427451992363,0.0003565896546836928,0.000551972575347962,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.30496299106456787,0.0
2023-10-19 23:34:22.401468,-0.051493193954229355,0.03738509118556976,5.996243953704834,0.016756601631641388,-0.012289237231016159,-0.001132947625592351,-0.00030463727307505906,-0.0005139265558682382,0.000126704660942778,0.19117658867807533,0.0002489179594501849,0.00041536292542982756,-0.16942782339980486,-0.0002818024493874766,-0.00029455970101473905,17.367427451992363,0.0003565896546836928,0.000551972575347962,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.30496299106456787,0.0
2023-10-19 23:34:22.420133,-0.05144551768898964,0.037347979843616486,5.9960832595825195,0.016809046268463135,-0.01236466784030199,-0.0008057913510128856,-0.0002147299819625914,-0.0005047438316978514,0.00011583877494558692,0.19006662344051967,0.00024693748133676404,0.00041611850554290625,-0.16311030361204723,0.00031924567347883754,0.0001607130327396295,17.366317486754806,0.00035460917657027195,0.0005527281554610407,17.176250863314287,0.0001076716952335079,0.00013660964991813444,0,GUIDED,12.587,0.0,0.3049465434801038,0.0
