throttle,acceleration
0.1500000059604644,-3.1146568475110055
0.2000000029802322,-2.272406661726248
0.3000000119209289,-1.0861754053986976
0.4000000059604645,0.6449695491932198
0.449999988079071,1.452147421289146
0.5,1.451425356926465
0.550000011920929,2.2961042989260516
0.6000000238418579,2.790823759450228
0.6499999761581421,3.7518281214259908
0.699999988079071,3.750002820618024
0.75,3.5339985775526137
0.8500000238418579,4.247666735241204
0.8500000238418579,4.256792337291374
0.8999999761581421,4.18015739264318
0.949999988079071,3.7846213051425783
0.949999988079071,3.818919112767341
