TIME,POSITION_LOCAL:X,POSITION_LOCAL:Y,POSITION_LOCAL:Z,VELOCITY:X,VELOCITY:Y,VELOCITY:Z,ATTITUDE:X,ATTITUDE:Y,ATTITUDE:Z,u_l1:X,u_l1:Y,u_l1:Z,sigma_hat:X,sigma_hat:Y,sigma_hat:Z,U_OUTPUT:X,U_OUTPUT:Y,U_OUTPUT:Z,U_REF:X,U_REF:Y,U_REF:Z,HEADING,FLIGHT_MODE,BATTERY_VOLTAGE,BATTERY_CURRENT
2023-09-25 12:02:17.998459,0.010062591172754765,-0.029416464269161224,5.004507541656494,-0.01,0.01,-0.01,-0.00014089065371081233,0.004082731436938047,6.354907964123413e-05,0.18753544574039813,-0.0015006042474920885,-0.0005314125835576153,-0.20976905548094826,0.0013038302626435458,-0.0001552120891457286,17.508647549055517,-0.001757643868647677,0.000220113973079866,17.32111210331512,-0.00025703962115558853,0.0007515265566374813,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.003213,0.009829184040427208,-0.029142871499061584,5.004169940948486,-0.01,0.02,-0.01,-0.00016685444279573858,-6.854075036244467e-05,5.922240961808711e-05,0.18348191825501411,-0.0014986823894303988,-0.0005205211535237473,-0.20695767710744775,0.0013018212565115437,-0.00016430109929042253,17.504594021570135,-0.0017557220105859873,0.00023100540311373396,17.32111210331512,-0.00025703962115558853,0.0007515265566374813,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.024246,0.009639948606491089,-0.028938807547092438,5.003631591796875,-0.01,0.01,-0.01,-0.0001942339731613174,-0.002959789475426078,5.699619941879064e-05,0.22863088962905997,-0.0014963735858138816,-0.0005022932409565099,-0.25380227209543577,-0.04244391180734526,-0.00022325335085628397,17.55166322147487,-0.0017075078995868816,0.00030263096234968976,17.32303233184581,-0.00021113431377299988,0.0008049242033061996,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.033335,0.00950915552675724,-0.028764918446540833,5.00347900390625,-0.01,0.01,-0.01,-0.00019350899674464017,0.004355134442448616,3.531267793732695e-05,0.17617171258939796,-0.0014943793762404061,-0.0004982691885156327,-0.2007634158529838,0.00814262951811362,-0.00022622575746815893,17.499204044435206,-0.001705513690013406,0.00030665501479056696,17.32303233184581,-0.00021113431377299988,0.0008049242033061996,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.051903,0.009410289116203785,-0.028663475066423416,5.003076076507568,-0.01,0.02,-0.01,-0.00021166606165934354,0.006509825121611357,3.4807584597729146e-05,0.1742421901688566,-0.001491496676475504,-0.0004869153105151759,-0.19753262148543044,0.04388491658461011,-0.00022732521548710178,17.497274522014667,-0.001702630990248504,0.0003180088927910237,17.32303233184581,-0.00021113431377299988,0.0008049242033061996,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.071223,0.009301241487264633,-0.028504444286227226,5.002740383148193,-0.01,0.01,-0.01,-0.00021427894535008818,-0.004906953778117895,3.2668009225744754e-05,0.17374834138145748,-0.001487755508365288,-0.00047541383449860227,-0.19560825981543445,-0.04915622523364218,-0.0002368878861189347,17.496780673227267,-0.0016988898221382879,0.00032951036880759734,17.32303233184581,-0.00021113431377299988,0.0008049242033061996,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.087570,0.009176217950880527,-0.02832009457051754,5.002556800842285,-0.01,0.01,-0.01,-0.0002282585046486929,0.0051076943054795265,3.199380080332048e-05,0.17374834138145748,-0.001487755508365288,-0.00047541383449860227,-0.19560825981543445,-0.04915622523364218,-0.0002368878861189347,17.496780673227267,-0.0016988898221382879,0.00032951036880759734,17.32303233184581,-0.00021113431377299988,0.0008049242033061996,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.109306,0.009059901349246502,-0.028182636946439743,5.0022783279418945,-0.01,0.01,-0.01,-0.000226062344154343,0.008702371269464493,3.0768740543862805e-05,0.17642135900234698,-0.0014770396911539308,-0.0004519804775346866,-0.19593530125198858,0.04370889004568961,-0.0002539145147805371,17.499453690848156,-0.0016881740049269308,0.000352943725771513,17.32303233184581,-0.00021113431377299988,0.0008049242033061996,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.150167,0.0088163111358881,-0.027773546054959297,5.001947402954102,-0.01,0.01,-0.0,-0.00025797070702537894,-0.001068370882421732,-1.6721725160095957e-07,0.23683644494323539,-0.001471521631936565,-0.0004320739535391838,-0.25765554920533035,0.0022619244125355723,-0.00030276108519385574,17.56278771318626,-0.0016347758305891263,0.00041282032853550554,17.325951268243024,-0.00016325419865256133,0.0008448942820746893,0,GUIDED,12.587,0.0
2023-09-25 12:02:18.167140,0.008688285946846008,-0.02758457511663437,5.00181245803833,-0.01,0.01,-0.01,-0.0002727605460677296,0.00914567057043314,2.8531867428682745e-06,0.2401225316171659,-0.0014642671927849803,-0.00041988614046068715,-0.26099581666489124,0.0010455742200925473,-0.0003063073252819328,17.56607379986019,-0.0016275213914375415,0.0004250081416140022,17.325951268243024,-0.00016325419865256133,0.0008448942820746893,0,GUIDED,12.587,0.0
