TIME,POSITION_LOCAL:X,POSITION_LOCAL:Y,POSITION_LOCAL:Z,VELOCITY:X,VELOCITY:Y,VELOCITY:Z,ATTITUDE:X,ATTITUDE:Y,ATTITUDE:Z,u_l1:X,u_l1:Y,u_l1:Z,sigma_hat:X,sigma_hat:Y,sigma_hat:Z,U_OUTPUT:X,U_OUTPUT:Y,U_OUTPUT:Z,U_REF:X,U_REF:Y,U_REF:Z,HEADING,FLIGHT_MODE,BATTERY_VOLTAGE,BATTERY_CURRENT
2023-09-27 13:34:38.368812,-0.07475247234106064,0.41653725504875183,-0.28610658645629883,0.0,0.0,-0.0,0.051371846348047256,0.01439653243869543,0.12767763435840607,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.377753,-0.074820876121521,0.4165629744529724,-0.2860488295555115,0.0,0.0,-0.0,0.05137435346841812,0.01439843513071537,0.127665176987648,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.387368,-0.0746089294552803,0.41620585322380066,-0.28572776913642883,0.0,0.0,-0.0,0.05137435346841812,0.01439843513071537,0.127665176987648,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.397496,-0.07438984513282776,0.4158555567264557,-0.2854304015636444,0.0,0.0,-0.0,0.05136760324239731,0.014390951953828335,0.12766239047050476,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.406970,-0.07438984513282776,0.4158555567264557,-0.2854304015636444,0.0,0.0,-0.0,0.051361773163080215,0.014383750036358833,0.12765726447105408,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.417396,-0.07419423013925552,0.4155225157737732,-0.28512775897979736,0.0,0.0,-0.0,0.05134909972548485,0.014359853230416775,0.12765835225582123,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.427493,-0.07402894645929337,0.41520577669143677,-0.28480952978134155,0.0,0.0,-0.0,0.051345910876989365,0.014346381649374962,0.12765751779079437,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.437163,-0.07384201139211655,0.4148898124694824,-0.2845345437526703,0.0,0.0,-0.0,0.05134548991918564,0.01433915738016367,0.12765228748321533,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.447304,-0.07368183135986328,0.41458839178085327,-0.28403136134147644,0.0,0.0,-0.0,0.05134059116244316,0.014336517080664635,0.12764064967632294,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.457110,-0.0735277533531189,0.4142948389053345,-0.28354597091674805,0.0,0.0,-0.0,0.05133706331253052,0.014326226897537708,0.12763406336307526,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.467541,-0.07336974143981934,0.41400811076164246,-0.2830919623374939,0.0,0.0,-0.0,0.051336951553821564,0.014323759824037552,0.12763039767742157,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.477958,-0.07323671877384186,0.4137328863143921,-0.28262776136398315,0.0,0.0,-0.0,0.051342666149139404,0.014317283406853676,0.127607062458992,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.489182,-0.07312650978565216,0.4134674072265625,-0.2821502983570099,0.0,0.0,-0.0,0.051342666149139404,0.014317283406853676,0.127607062458992,,,,,,,,,,,,,7,STABILIZE,12.004,0.01
2023-09-27 13:34:38.497417,-0.07312650978565216,0.4134674072265625,-0.2821502983570099,0.0,0.0,0.01,0.05134773254394531,0.01430863980203867,0.12760397791862488,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.508707,-0.07299202680587769,0.41320672631263733,-0.2817333936691284,0.0,0.0,0.01,0.051351405680179596,0.014295203611254692,0.12759795784950256,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.517623,-0.07287827134132385,0.41295570135116577,-0.2813069224357605,0.0,0.0,0.01,0.05135885253548622,0.01427941769361496,0.1275968700647354,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.531339,-0.07275956869125366,0.41271188855171204,-0.2809116840362549,0.0,0.0,0.01,0.05136166140437126,0.014266888611018658,0.127590149641037,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.538680,-0.07275956869125366,0.41271188855171204,-0.2809116840362549,0.0,0.0,0.01,0.05136166140437126,0.014266888611018658,0.127590149641037,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.550893,-0.07267933338880539,0.41247767210006714,-0.28025704622268677,0.0,0.0,0.01,0.05136459693312645,0.014267499558627605,0.12757854163646698,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.557674,-0.07259120792150497,0.4122498631477356,-0.27964481711387634,0.0,0.0,0.01,0.05136459693312645,0.014267499558627605,0.12757854163646698,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.568942,-0.0725214034318924,0.4120287001132965,-0.27902063727378845,0.0,0.0,0.01,0.051358092576265335,0.014274420216679573,0.12756021320819855,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
2023-09-27 13:34:38.577229,-0.0725214034318924,0.4120287001132965,-0.27902063727378845,0.0,0.0,0.01,0.051358092576265335,0.014274420216679573,0.12756021320819855,,,,,,,,,,,,,7,STABILIZE,12.002,0.01
