acceleration,a_hat,action,penalty,force_norm,angles
"[0.0, 0.0, 2.3768932960034728e-14]","[0.00396485622910507, -0.03271754213864415, 26.526911002063084]",0.7636363636363637,26.563593400430808,15.195441759952269,[0.00090039 0.00010911 0.        ]
"[0.0, 0.0, -1.1266085424971923e-15]","[0.0020708507376839087, -0.01805905704445032, 10.088020332382156]",1.309090909090909,10.108150240164292,15.194858230489857,[0.00090758 0.00010407 0.        ]
"[0.0, 0.0, 8.024958297369961e-17]","[0.0012079962636489467, -0.010534449942596018, 1.797178527222924]",1.8727272727272726,1.808920973429169,15.194858230489857,[0.00090758 0.00010407 0.        ]
"[0.0, 0.0, -2.136524103756405e-18]","[0.0008444245726478076, -0.0073638873385137235, -1.6962441363101877]",1.1636363636363636,1.7044524482213492,15.194858230489857,[0.00090758 0.00010407 0.        ]
"[0.0, 0.0, 2.0171034339912165e-20]","[0.0013589957966050651, -0.011851256185420522, 3.2480758431257906]",1.4727272727272727,3.261286095107816,15.194858230489857,[0.00090758 0.00010407 0.        ]
"[0.0, 0.0, 0.07296209925341487]","[0.001032695777773418, -0.009322853483957567, 0.5072585765427416]",1.6181818181818182,0.44465202655105773,15.194514364910173,[0.00090362 0.00010009 0.        ]
"[0.0, 0.0, -0.04067586662472204]","[0.000939869191007268, -0.008484844182028797, -0.4201354528094145]",1.6181818181818182,0.3888842995577285,15.194514364910173,[0.00090362 0.00010009 0.        ]
"[0.0, 0.0, -0.03278345288251079]","[0.000939869191007268, -0.008484844182028797, -0.4201354528094145]",1.5818181818181818,0.3967767132999398,15.194514364910173,[0.00090362 0.00010009 0.        ]
"[0.0, 0.0, 0.0005393461777714186]","[0.0009614753793062858, -0.008679898071270838, -0.20427649770158593]",1.5454545454545454,0.21445721732993445,15.194514364910173,[0.00090362 0.00010009 0.        ]
"[0.0, 0.0, -5.623796336616661e-05]","[0.0008639613655478505, -0.008433059178297621, 0.021069789656944216]",1.9818181818181817,0.030423048164155853,15.193477141568279,[8.57796482e-04 8.78807070e-05 0.00000000e+00]
"[0.0, 0.0, 1.439922790930927e-05]","[0.000673731340106122, -0.0065762388087642005, -2.1435694300840336]",1.709090909090909,2.150833799460813,15.193477141568279,[8.57796482e-04 8.78807070e-05 0.00000000e+00]
"[0.0, 0.0, -3.104488802607368e-07]","[0.0007812416603358222, -0.0076256386186733804, -0.9202028497782938]",1.7454545454545454,0.9286094196084227,15.193477141568279,[8.57796482e-04 8.78807070e-05 0.00000000e+00]
"[0.0, 0.0, 2.3025380639592555e-08]","[0.0007649657924121593, -0.007466771147451019, -1.1054069570745797]",1.509090909090909,1.1136387170398236,15.193477141568279,[8.57796482e-04 8.78807070e-05 0.00000000e+00]
"[0.0, 0.0, 8.670049536346556e-11]","[0.0009892883153300362, -0.008248275563380718, 0.25769530358097736]",1.0,0.26693286737298766,15.19307263044131,[8.19281219e-04 9.82636326e-05 0.00000000e+00]
"[0.0, 0.0, 1.6000705772804268e-10]","[0.0014929260031344184, -0.012447397668374537, 5.383067458131293]",1.709090909090909,5.397007781642795,15.19307263044131,[8.19281219e-04 9.82636326e-05 0.00000000e+00]
"[0.0, 0.0, -0.17750559346980904]","[0.0008735205337488619, -0.007283051827240421, -0.9204392532210508]",1.5454545454545454,0.751090232112231,15.19307263044131,[8.19281219e-04 9.82636326e-05 0.00000000e+00]
"[0.0, 0.0, -0.022467126695968342]","[0.0009660109432046237, -0.008054198491301172, 0.020808355261424754]",1.5818181818181818,0.052295691391898894,15.19307263044131,[8.19281219e-04 9.82636326e-05 0.00000000e+00]
"[0.0, 0.0, -0.07298596077847944]","[0.0010645819421001045, -0.007151946814894156, -0.18034356677735502]",1.4727272727272727,0.11557413475586985,15.23236992492982,[0.0007427  0.00011055 0.        ]
"[0.0, 0.0, 0.00530992686014066]","[0.0011434398637371493, -0.0076817206530344646, 0.5329643171650637]",1.5272727272727271,0.5364795508216946,15.23236992492982,[0.0007427  0.00011055 0.        ]
