time,throttle,x
0.0006506443023681641,0.8500000238418579,"[-0.5007415413856506, 0.3660522699356079, 2.578028917312622, 0.22055584988946647, -0.10965683059766909, -0.012577387463378466]"
0.005480766296386719,0.8500000238418579,"[-0.5007415413856506, 0.3660522699356079, 2.578028917312622, 0.22171153359882959, -0.1136234756953115, -0.011167607081085301]"
0.011403322219848633,0.8500000238418579,"[-0.4955606758594513, 0.36363229155540466, 2.5798044204711914, 0.22291774067050113, -0.11667973790417349, -0.00936630972263056]"
0.016776084899902344,0.8500000238418579,"[-0.4955606758594513, 0.36363229155540466, 2.5798044204711914, 0.2236577848767467, -0.11890660452229224, -0.007458616802697723]"
0.021884679794311523,0.8500000238418579,"[-0.4955606758594513, 0.36363229155540466, 2.5798044204711914, 0.22383857084331307, -0.12042264509721198, -0.0056359385029494885]"
0.02728438377380371,0.8500000238418579,"[-0.49231022596359253, 0.3620651066303253, 2.581531286239624, 0.22364615251506814, -0.12136100750772952, -0.004014206519013223]"
0.03297877311706543,0.8500000238418579,"[-0.49231022596359253, 0.3620651066303253, 2.581531286239624, 0.22343067032448793, -0.12225516054900111, -0.0026516311089122267]"
0.0371401309967041,0.8500000238418579,"[-0.49231022596359253, 0.3620651066303253, 2.581531286239624, 0.2236193738320337, -0.12385246405628587, -0.0015647265663176614]"
0.04497122764587402,0.8500000238418579,"[-0.48716288805007935, 0.3595855236053467, 2.583259344100952, 0.2240521432526323, -0.12577241727541888, -0.0009427724192874348]"
0.05866503715515137,0.8500000238418579,"[-0.48126405477523804, 0.35695430636405945, 2.589226722717285, 0.22420501154475497, -0.12694173127146702, -0.001070645964853035]"
0.06459283828735352,0.8500000238418579,"[-0.48126405477523804, 0.35695430636405945, 2.589226722717285, 0.22416608437845004, -0.12733485294985328, -0.0016691501296967788]"
0.07132148742675781,0.8500000238418579,"[-0.48126405477523804, 0.35695430636405945, 2.589226722717285, 0.22440894336521944, -0.12760024897724986, -0.0021197467430502798]"
0.07651209831237793,0.8500000238418579,"[-0.477414608001709, 0.3550876975059509, 2.5920205116271973, 0.22501385028706114, -0.12796324143582696, -0.002238450979091177]"
0.0821685791015625,0.8500000238418579,"[-0.477414608001709, 0.3550876975059509, 2.5920205116271973, 0.2254006956302531, -0.12896216804160632, -0.001733092294923111]"
0.08812355995178223,0.8500000238418579,"[-0.477414608001709, 0.3550876975059509, 2.5920205116271973, 0.2248132755962418, -0.1314937066918671, -6.475248724666701e-05]"
0.09482073783874512,0.8500000238418579,"[-0.47359493374824524, 0.35316216945648193, 2.594820261001587, 0.22344736479357402, -0.13520648848077338, 0.0030187781623206697]"
0.10185861587524414,0.8500000238418579,"[-0.47359493374824524, 0.35316216945648193, 2.594820261001587, 0.2220935633942613, -0.13897693444647863, 0.007565567564493315]"
0.10685920715332031,0.8500000238418579,"[-0.46866369247436523, 0.35052844882011414, 2.5976192951202393, 0.2210571175886724, -0.14228063678634517, 0.013087228194680533]"
0.11282587051391602,0.8500000238418579,"[-0.46866369247436523, 0.35052844882011414, 2.5976192951202393, 0.2197049685943077, -0.14501959453667396, 0.018589716214890598]"
0.11836361885070801,0.8500000238418579,"[-0.46866369247436523, 0.35052844882011414, 2.5976192951202393, 0.21705396375060368, -0.14717632251683388, 0.023236206627228726]"
0.12517380714416504,0.8500000238418579,"[-0.46561670303344727, 0.3490128815174103, 2.6002092361450195, 0.21318039914083892, -0.14878637911260062, 0.026759599339376126]"
0.13086414337158203,0.8500000238418579,"[-0.46561670303344727, 0.3490128815174103, 2.6002092361450195, 0.21003892273497443, -0.14951481844312314, 0.028877977967375727]"
0.13695526123046875,0.8500000238418579,"[-0.46561670303344727, 0.3490128815174103, 2.6002092361450195, 0.2100293417686618, -0.14881597850856979, 0.029121737339388037]"
0.1421957015991211,0.8500000238418579,"[-0.4619236886501312, 0.34706899523735046, 2.6027348041534424, 0.21323417836558958, -0.14685622374234417, 0.027741957422705046]"
0.147904634475708,0.8500000238418579,"[-0.4619236886501312, 0.34706899523735046, 2.6027348041534424, 0.21764063002393583, -0.14524938147322175, 0.025833427895264268]"
0.15343499183654785,0.8500000238418579,"[-0.4619236886501312, 0.34706899523735046, 2.6027348041534424, 0.2212587518982409, -0.14600629993611658, 0.02454243739904384]"
0.15884685516357422,0.8500000238418579,"[-0.4571237862110138, 0.3443585932254791, 2.605386734008789, 0.2234781200290981, -0.14922258237753083, 0.024152883557893447]"
0.165604829788208,0.8500000238418579,"[-0.4571237862110138, 0.3443585932254791, 2.605386734008789, 0.2254254403918254, -0.1527536383068866, 0.02397109439944453]"
0.17110824584960938,0.8500000238418579,"[-0.4571237862110138, 0.3443585932254791, 2.605386734008789, 0.22864851675831324, -0.1541945761922246, 0.02313382456973076]"
0.17782306671142578,0.8500000238418579,"[-0.45350170135498047, 0.3424781262874603, 2.6090779304504395, 0.232631713972003, -0.15317508984787312, 0.022144255643240483]"
0.18491530418395996,0.8500000238418579,"[-0.45350170135498047, 0.3424781262874603, 2.6090779304504395, 0.23557742990327515, -0.15065950550730153, 0.02234150688864725]"
0.19199848175048828,0.8500000238418579,"[-0.45350170135498047, 0.3424781262874603, 2.6090779304504395, 0.23701861509185226, -0.14738648201544655, 0.023886582168146264]"
0.19924497604370117,0.8500000238418579,"[-0.4494994580745697, 0.3402426540851593, 2.61267352104187, 0.23737909177859537, -0.14389060706807963, 0.026171965218291668]"
0.20524883270263672,0.8500000238418579,"[-0.4494994580745697, 0.3402426540851593, 2.61267352104187, 0.23661582875390214, -0.14093430904638493, 0.027945218440207368]"
0.21145296096801758,0.8500000238418579,"[-0.4494994580745697, 0.3402426540851593, 2.61267352104187, 0.23438983447572065, -0.13936489379398476, 0.027640895593191297]"
0.21846675872802734,0.8500000238418579,"[-0.44471248984336853, 0.33764562010765076, 2.619356870651245, 0.23100286977439566, -0.13921270181100537, 0.025225228824310462]"
0.2240910530090332,0.8500000238418579,"[-0.44471248984336853, 0.33764562010765076, 2.619356870651245, 0.22754506881883158, -0.139178339637992, 0.022653675537186738]"
0.2318742275238037,0.8500000238418579,"[-0.44471248984336853, 0.33764562010765076, 2.619356870651245, 0.22512294866778498, -0.13761563898202128, 0.02219706252717924]"
0.23819279670715332,0.8500000238418579,"[-0.4423139691352844, 0.3363330066204071, 2.622692108154297, 0.22396130860267224, -0.13439493862093005, 0.024137719299016105]"
0.24248790740966797,0.8500000238418579,"[-0.4423139691352844, 0.3363330066204071, 2.622692108154297, 0.22370139794769087, -0.1303696076097591, 0.02745996905504393]"
0.2484147548675537,0.8500000238418579,"[-0.4423139691352844, 0.3363330066204071, 2.622692108154297, 0.22323735773703263, -0.12695492889301693, 0.03140141777106848]"
0.25351858139038086,0.8500000238418579,"[-0.4423139691352844, 0.3363330066204071, 2.622692108154297, 0.22107300743348968, -0.1258128751734726, 0.03542336047078454]"
