time,throttle,x
1.4543533325195312e-05,0.699999988079071,"[-4.735500812530518, 1.3765082359313965, 2.1621100902557373, 0.0700403333870485, -0.06649921135665895, -0.06582652833215719]"
0.005293369293212891,0.699999988079071,"[-4.735500812530518, 1.3765082359313965, 2.1621100902557373, 0.07217308251000801, -0.06416651961883199, -0.06603627743937424]"
0.012621641159057617,0.699999988079071,"[-4.73368501663208, 1.3767257928848267, 2.162580728530884, 0.07336635319851026, -0.0631390678609891, -0.06648921990861473]"
0.01724410057067871,0.699999988079071,"[-4.73368501663208, 1.3767257928848267, 2.162580728530884, 0.07366039472664233, -0.0624287715619263, -0.06686091472223497]"
0.02410411834716797,0.699999988079071,"[-4.73368501663208, 1.3767257928848267, 2.162580728530884, 0.07295242556441843, -0.060773942031234714, -0.06674897438439437]"
0.028490066528320312,0.699999988079071,"[-4.732146739959717, 1.377146601676941, 2.1631951332092285, 0.071457855263115, -0.05804377187841052, -0.06613501279756846]"
0.03273606300354004,0.699999988079071,"[-4.732146739959717, 1.377146601676941, 2.1631951332092285, 0.06937802746267294, -0.05504408804021457, -0.06565006808181491]"
0.03765392303466797,0.699999988079071,"[-4.732146739959717, 1.377146601676941, 2.1631951332092285, 0.0666882563218219, -0.05251419348506029, -0.06609016044534707]"
0.04244232177734375,0.699999988079071,"[-4.732146739959717, 1.377146601676941, 2.1631951332092285, 0.06362254205425262, -0.05068966785355015, -0.06748983993044831]"
0.04773449897766113,0.699999988079071,"[-4.729824066162109, 1.376955509185791, 2.1636953353881836, 0.06156616380375502, -0.04926326847143062, -0.06919167733713792]"
0.052934885025024414,0.699999988079071,"[-4.729824066162109, 1.376955509185791, 2.1636953353881836, 0.06233065730121651, -0.047805128261341326, -0.0705489223892127]"
0.05830717086791992,0.699999988079071,"[-4.728225231170654, 1.3773610591888428, 2.1648449897766113, 0.06584707510158132, -0.04624293481830467, -0.07137529675484613]"
0.06336092948913574,0.699999988079071,"[-4.728225231170654, 1.3773610591888428, 2.1648449897766113, 0.06984178949137569, -0.04534200404919779, -0.0721964781865933]"
0.07253623008728027,0.699999988079071,"[-4.728225231170654, 1.3773610591888428, 2.1648449897766113, 0.07181401434036787, -0.04614255193486457, -0.07375169539722067]"
0.07778072357177734,0.699999988079071,"[-4.726761817932129, 1.377683401107788, 2.1659295558929443, 0.07132650848298212, -0.048572535956310885, -0.07605441891181522]"
0.08235812187194824,0.699999988079071,"[-4.726761817932129, 1.377683401107788, 2.1659295558929443, 0.06930061358724778, -0.05145068500865016, -0.07804907002469287]"
