time,throttle,x
0.00036525726318359375,0.5,"[-0.17914120852947235, 0.023140085861086845, 3.2075650691986084, 0.019179365770147484, -0.01944926592563462, 0.003911575624996]"
0.005762338638305664,0.5,"[-0.17914120852947235, 0.023140085861086845, 3.2075650691986084, 0.014884367175209887, -0.021549258820457155, 0.0034040883694294627]"
0.010518789291381836,0.5,"[-0.17914120852947235, 0.023140085861086845, 3.2075650691986084, 0.011153716432951377, -0.021308437022125953, 0.0014807511285477293]"
0.015663623809814453,0.5,"[-0.17953746020793915, 0.02275555394589901, 3.207275390625, 0.00953313895593734, -0.020556703651938055, 0.00018064596544657805]"
0.020189285278320312,0.5,"[-0.17953746020793915, 0.02275555394589901, 3.207275390625, 0.010647891915486816, -0.01743799206532695, -0.00026799747848299386]"
0.027408123016357422,0.5,"[-0.17953746020793915, 0.02275555394589901, 3.207275390625, 0.014544766310710113, -0.010066228746786577, -0.00024958014448059216]"
0.036292314529418945,0.5,"[-0.17979696393013, 0.022244904190301895, 3.2071166038513184, 0.018466418803971527, -0.004091599394288175, -0.00011368041418147394]"
0.04401564598083496,0.5,"[-0.1801299750804901, 0.02181471884250641, 3.206913709640503, 0.02033820067772563, -0.0042526691128710915, -1.7069539967751998e-05]"
0.050383806228637695,0.5,"[-0.1801299750804901, 0.02181471884250641, 3.206913709640503, 0.023292495315295286, -0.008621627462020337, 0.0013292454887902224]"
0.05521392822265625,0.5,"[-0.1801299750804901, 0.02181471884250641, 3.206913709640503, 0.03023641548474891, -0.01446697045066315, 0.004931835173027771]"
0.06158638000488281,0.5,"[-0.18033234775066376, 0.021346058696508408, 3.206862211227417, 0.0372469295091116, -0.018959823354135118, 0.008570390089791732]"
0.0670919418334961,0.5,"[-0.18033234775066376, 0.021346058696508408, 3.206862211227417, 0.0392880128335092, -0.020728340456054973, 0.010310583353783096]"
0.07241392135620117,0.5,"[-0.18033234775066376, 0.021346058696508408, 3.206862211227417, 0.03628381741712082, -0.020827796732210923, 0.01062141204387055]"
0.07741880416870117,0.5,"[-0.18063701689243317, 0.020929865539073944, 3.206902265548706, 0.03217063482575487, -0.020420752286111805, 0.010380139773275288]"
0.08311653137207031,0.5,"[-0.18063701689243317, 0.020929865539073944, 3.206902265548706, 0.029912628264516898, -0.018778230971042354, 0.014048299965231605]"
0.08910131454467773,0.5,"[-0.18063701689243317, 0.020929865539073944, 3.206902265548706, 0.02934378513736935, -0.015038646086869563, 0.024723374772055842]"
0.09764862060546875,0.5,"[-0.18091417849063873, 0.020521584898233414, 3.2071828842163086, 0.025599880321164562, -0.014000408216294462, 0.03826287418657792]"
0.1045219898223877,0.5,"[-0.18091417849063873, 0.020521584898233414, 3.2071828842163086, 0.015088690016724712, -0.019486253635995678, 0.05072590809857544]"
0.11027956008911133,0.5,"[-0.18118692934513092, 0.02021193504333496, 3.2075564861297607, 0.004314489276090434, -0.026493262130269736, 0.05898210479190864]"
