time,throttle,x
0.0003981590270996094,0.15000000596046448,"[-1.4875903129577637, -0.1715722382068634, 2.5877034664154053, 0.03266749713098908, -0.0021813346126250887, 0.15389126836963815]"
0.005477428436279297,0.15000000596046448,"[-1.4875903129577637, -0.1715722382068634, 2.5877034664154053, 0.0330179346671371, -0.001084289587897855, 0.14594322337119994]"
0.010657072067260742,0.15000000596046448,"[-1.4875903129577637, -0.1715722382068634, 2.5877034664154053, 0.03219691255669421, -0.00029359333728576397, 0.1371549542862528]"
0.021899938583374023,0.15000000596046448,"[-1.4863730669021606, -0.17152974009513855, 2.5895426273345947, 0.030489694893217057, 0.00023710628846035603, 0.12853379827394873]"
0.029064416885375977,0.15000000596046448,"[-1.4863730669021606, -0.17152974009513855, 2.5895426273345947, 0.02794959374323054, 0.0005584237406043126, 0.12071238779893864]"
0.03562521934509277,0.15000000596046448,"[-1.484859824180603, -0.17152339220046997, 2.5919766426086426, 0.02528021026365162, 0.0007196410702524139, 0.1138313826818741]"
0.040810346603393555,0.15000000596046448,"[-1.484859824180603, -0.17152339220046997, 2.5919766426086426, 0.023545686802719193, 0.0007652267938281592, 0.10770461564110213]"
0.0461275577545166,0.15000000596046448,"[-1.484859824180603, -0.17152339220046997, 2.5919766426086426, 0.02295174483888087, 0.0007329899499970095, 0.10235293110380624]"
0.05230402946472168,0.15000000596046448,"[-1.4837164878845215, -0.1715041846036911, 2.593463182449341, 0.0229361963311765, 0.0006534311801410488, 0.0975265989587394]"
0.057953596115112305,0.15000000596046448,"[-1.4837164878845215, -0.1715041846036911, 2.593463182449341, 0.022891183110338654, 0.0005499136516806541, 0.09262158372709715]"
0.06286907196044922,0.15000000596046448,"[-1.4837164878845215, -0.1715041846036911, 2.593463182449341, 0.022630055062649364, 0.0004393460580048508, 0.08765847452155683]"
0.0684504508972168,0.15000000596046448,"[-1.4825739860534668, -0.17147500813007355, 2.5947811603546143, 0.023054633381093557, 0.0003331391717731244, 0.08285597674690283]"
0.0739750862121582,0.15000000596046448,"[-1.4825739860534668, -0.17147500813007355, 2.5947811603546143, 0.025491551930930403, 0.00023826099885418926, 0.07814062132291193]"
0.07919073104858398,0.15000000596046448,"[-1.4825739860534668, -0.17147500813007355, 2.5947811603546143, 0.029826656501488167, 0.0001582704057658076, 0.07365912195088742]"
0.08478641510009766,0.15000000596046448,"[-1.481361985206604, -0.17143967747688293, 2.5960004329681396, 0.03503091163655628, 9.425390619047431e-05, 0.06968762087813224]"
0.08980298042297363,0.15000000596046448,"[-1.481361985206604, -0.17143967747688293, 2.5960004329681396, 0.039972854678224486, 4.562508311126032e-05, 0.06515725049669871]"
0.09526395797729492,0.15000000596046448,"[-1.481361985206604, -0.17143967747688293, 2.5960004329681396, 0.04354622543795779, 1.0771691743393458e-05, 0.05822238489491222]"
0.10095047950744629,0.15000000596046448,"[-1.4797972440719604, -0.1714029461145401, 2.5979552268981934, 0.04555313170338822, -1.2446911709020412e-05, 0.049097492415525044]"
0.1058962345123291,0.15000000596046448,"[-1.4797972440719604, -0.1714029461145401, 2.5979552268981934, 0.046394161827357956, -2.633829523278382e-05, 0.03869855606846555]"
0.11092257499694824,0.15000000596046448,"[-1.4797972440719604, -0.1714029461145401, 2.5979552268981934, 0.04641989263309646, -3.313170897550449e-05, 0.02711289035401676]"
0.11625957489013672,0.15000000596046448,"[-1.4797972440719604, -0.1714029461145401, 2.5979552268981934, 0.04592066292239846, -3.4827090435571314e-05, 0.015094329607000525]"
0.12198233604431152,0.15000000596046448,"[-1.478698492050171, -0.1713750660419464, 2.5992045402526855, 0.04452235286125993, -3.311664518755776e-05, 0.0033619562498974826]"
0.1269850730895996,0.15000000596046448,"[-1.478698492050171, -0.1713750660419464, 2.5992045402526855, 0.04145474538919621, -2.9359273730733018e-05, -0.008047702834814454]"
0.13196396827697754,0.15000000596046448,"[-1.478698492050171, -0.1713750660419464, 2.5992045402526855, 0.03696046201730962, -2.459094565970867e-05, -0.01873547851841428]"
0.1376175880432129,0.15000000596046448,"[-1.4776865243911743, -0.171357661485672, 2.6000020503997803, 0.031912219206388974, -1.9557295312379818e-05, -0.028101687147924537]"
0.1430809497833252,0.15000000596046448,"[-1.4776865243911743, -0.171357661485672, 2.6000020503997803, 0.027315903791821045, 0.00018607580496685889, -0.036671221369788204]"
0.14920401573181152,0.15000000596046448,"[-1.4776865243911743, -0.171357661485672, 2.6000020503997803, 0.024182005261439477, 0.0009055117633776136, -0.0456480561261427]"
0.1562342643737793,0.15000000596046448,"[-1.476289987564087, -0.1719297617673874, 2.596679925918579, 0.022840287935245708, 0.0018966811936981806, -0.05597247639143803]"
0.16138982772827148,0.15000000596046448,"[-1.476289987564087, -0.1719297617673874, 2.596679925918579, 0.023157440890303003, 0.002580835920864807, -0.06834011282627186]"
0.1667320728302002,0.15000000596046448,"[-1.476289987564087, -0.1719297617673874, 2.596679925918579, 0.024713868512376024, 0.002812292122362572, -0.08202880231748975]"
0.17236948013305664,0.15000000596046448,"[-1.4750008583068848, -0.17248326539993286, 2.592891216278076, 0.02673923997293993, 0.002734815750119089, -0.09747342795410792]"
0.17732620239257812,0.15000000596046448,"[-1.4750008583068848, -0.17248326539993286, 2.592891216278076, 0.028500996872515057, 0.0024654289417759944, -0.11682017880050127]"
0.18304443359375,0.15000000596046448,"[-1.4750008583068848, -0.17248326539993286, 2.592891216278076, 0.02975132248090579, 0.002094600855071638, -0.13912370872938695]"
0.18951106071472168,0.15000000596046448,"[-1.4735395908355713, -0.17300400137901306, 2.5871567726135254, 0.03077403151465634, 0.001688503152574803, -0.1621343546577153]"
0.19677281379699707,0.15000000596046448,"[-1.4735395908355713, -0.17300400137901306, 2.5871567726135254, 0.0319702678618957, 0.0012924084621988839, -0.18495498759753498]"
0.20211577415466309,0.15000000596046448,"[-1.4735395908355713, -0.17300400137901306, 2.5871567726135254, 0.033382532066727, 0.000934548876891373, -0.2064229959269018]"
0.20716071128845215,0.15000000596046448,"[-1.4723849296569824, -0.17352581024169922, 2.5825448036193848, 0.03481989399709266, 0.0006299595345168293, -0.2252988969450833]"
0.21259355545043945,0.15000000596046448,"[-1.4723849296569824, -0.17352581024169922, 2.5825448036193848, 0.03595705047630697, 0.0005848375164616389, -0.24200014774862838]"
0.21753358840942383,0.15000000596046448,"[-1.4723849296569824, -0.17352581024169922, 2.5825448036193848, 0.036408650699304775, 0.0011114173851529603, -0.25797335054763165]"
0.2221989631652832,0.15000000596046448,"[-1.4713053703308105, -0.17403236031532288, 2.5775442123413086, 0.036183456097841654, 0.0021631908098549515, -0.27320060423317816]"
0.2292468547821045,0.15000000596046448,"[-1.4713053703308105, -0.17403236031532288, 2.5775442123413086, 0.035743122412420315, 0.0032664716731241445, -0.2877303525764838]"
0.23661422729492188,0.15000000596046448,"[-1.4713053703308105, -0.17403236031532288, 2.5775442123413086, 0.03560184978538851, 0.003912489228467458, -0.3026538663620227]"
